plant_id,scientific_name,synonym_scientific_name,common_name,family,light_requirement_level,min_lux,max_lux,watering_frequency_days,min_temp_celsius,max_temp_celsius,ideal_humidity_percent,is_toxic_to_dogs,is_toxic_to_cats,toxicity_symptoms,toxicity_status,care_confidence,vernacular_names_en,native_range,image_url,image_license,image_commercial_safe,gbif_usage_key,gbif_source_url,dataset_version
1,Monstera deliciosa,,Swiss Cheese Plant,Araceae,Medium to Bright,1500,5000,7,18,30,60,1,1,"Oral irritation, intense burning of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing.",aspca_verified,high,Ceriman,Caribbean; East Africa; Galápagos Islands; INTRODUCED; Middle America; North America,https://inaturalist-open-data.s3.amazonaws.com/photos/605494677/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2868241,https://www.gbif.org/species/2868241,2026.07
2,Epipremnum aureum,,Golden Pothos,Araceae,Medium to Low,500,3000,7,15,30,50,1,1,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting.",aspca_verified,high,Devil's Ivy,East Africa; INTRODUCED,https://inaturalist-open-data.s3.amazonaws.com/photos/604831750/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2868323,https://www.gbif.org/species/2868323,2026.07
3,Philodendron hederaceum,,Heartleaf Philodendron,Araceae,Medium to Low,500,3000,7,16,28,50,1,1,"Oral irritation, burning of mouth and lips, drooling, vomiting.",aspca_verified,high,Vilevine,"Antioquia, Atlántico, Bolívar, Boyacá, Caldas, Casanare, Chocó, Cundinamarca, La Guajira, Magdalena, Meta, Nariño, Norte",https://inaturalist-open-data.s3.amazonaws.com/photos/605640348/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2871003,https://www.gbif.org/species/2871003,2026.07
4,Spathiphyllum wallisii,,Peace Lily,Araceae,Medium to Low,500,1500,7,15,30,50,1,1,"Oral irritation, intense burning of mouth, tongue and lips, excessive drooling, vomiting.",aspca_verified,high,Peace Lily,Galápagos Islands,https://inaturalist-open-data.s3.amazonaws.com/photos/611754736/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2869680,https://www.gbif.org/species/2869680,2026.07
5,Anthurium andraeanum,,Flamingo Lily,Araceae,Medium to Bright,1500,4000,7,18,30,70,1,1,"Oral irritation, blistering of mouth and tongue, drooling, vomiting.",aspca_verified,high,Flamingo-Lily,"Armenia | Barrancabermeja | Montería | Villavicencio | Manizales | Pasto; Colombia; Colombia, Nariño, Ricaurte, Resguard",https://inaturalist-open-data.s3.amazonaws.com/photos/605732736/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2872695,https://www.gbif.org/species/2872695,2026.07
6,Zamioculcas zamiifolia,,ZZ Plant,Araceae,Low,250,2000,14,15,30,40,1,1,"Mild to moderate oral irritation, excessive drooling, vomiting.",aspca_verified,high,ZZ Plant,Kenya; KwaZulu-Natal; Malawi; Mozambique,https://inaturalist-open-data.s3.amazonaws.com/photos/613586648/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2869014,https://www.gbif.org/species/2869014,2026.07
7,Aglaonema commutatum,,Chinese Evergreen,Araceae,Medium to Low,500,2500,10,16,28,50,1,1,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting.",aspca_verified,high,Chinese evergreen,Caribbean; East Africa; Galápagos Islands; INTRODUCED; North America; Oceania; Southern Asia,https://inaturalist-open-data.s3.amazonaws.com/photos/609503106/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2866467,https://www.gbif.org/species/2866467,2026.07
8,Syngonium podophyllum,,Arrowhead Vine,Araceae,Medium to Bright,1000,3500,7,16,28,60,1,1,"Oral irritation, intense burning of mouth, tongue and lips, excessive drooling, vomiting.",aspca_verified,high,African evergreen,"Amazonas, Antioquia, Boyacá, Caldas, Caquetá, Cauca, Chocó, Cundinamarca, Huila, Magdalena, Meta, Nariño, Putumayo, Quin",https://inaturalist-open-data.s3.amazonaws.com/photos/604613846/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2867866,https://www.gbif.org/species/2867866,2026.07
10,Dieffenbachia seguine,,Dumb Cane,Araceae,Medium,1000,3000,7,16,28,60,1,1,"Severe oral irritation, intense burning and swelling of mouth and tongue, excessive drooling, respiratory compromise.",aspca_verified,high,Dumb-cane,Caribbean; Galápagos Islands; Oceania; South America,https://inaturalist-open-data.s3.amazonaws.com/photos/606335823/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,0,2869345,https://www.gbif.org/species/2869345,2026.07
11,Dracaena trifasciata,Sansevieria trifasciata,Snake Plant,Asparagaceae,Low to Bright,250,5000,14,10,35,30,1,1,"Nausea, vomiting, diarrhea, excessive drooling.",aspca_verified,high,"Snake plant, Mother-in-law's tongue, Viper's bowstring hemp, Snake Sansevieria, Bowstring hemp, Good luck plant, Mother-in-law's nose",Africa; Australia; Caribbean; INTRODUCED; Middle America; North America; Oceania; South America; Southern Asia,https://inaturalist-open-data.s3.amazonaws.com/photos/604529562/original.jpg,http://creativecommons.org/publicdomain/zero/1.0/,1,11041822,https://www.gbif.org/species/11041822,2026.07
